"","Gene_name","Method","Sensitivity","lower.Sensitivity","upper.Sensitivity","Specificity","lower.Specificity","upper.Specificity","Mean.DOR","Median.DOR","lower.Mean.DOR","upper.Mean.DOR","Mean.Pos.LR","Median.Pos.LR","lower.Pos.LR","upper.Pos.LR","Mean.Neg.LR","Median.Neg.LR","lower.Neg.LR","upper.Neg.LR","AUC","Method.1","DOR","lower.DOR","upper.DOR","lnDOR","lower.lnDOR","upper.lnDOR","tau.2","lower.tau.2","upper.tau.2","tau","lower.tau","upper.tau","I.2","Q","p.value","df","k.study"
"SELP","SELP","Bivariate model, Reitsma 2005",0.581,0.29,0.824,0.64,0.432,0.806,2.95,2.46,0.754,8.03,1.65,1.58,0.844,2.85,0.675,0.664,0.301,1.11,0.65,"Univariate model, Glas 2003",2.827,0.997,8.02,1.039,-0.003,2.082,0.329,0,14.463,0.573,0,3.803,0,2.57,0.463,3,4
"MAN1A1","MAN1A1","Bivariate model, Reitsma 2005",0.613,0.487,0.726,0.677,0.522,0.801,3.46,3.32,1.89,5.83,1.94,1.89,1.35,2.83,0.579,0.576,0.435,0.74,0.683,"Univariate model, Glas 2003",4.453,1.855,10.687,1.493,0.618,2.369,0.366,0,24.198,0.605,0,4.919,23.68,5.241,0.263,4,5
"IGLC6","IGLC6","Bivariate model, Reitsma 2005",0.74,0.411,0.921,0.687,0.177,0.957,7.69,6.23,1.75,22.3,3.22,2.33,1.09,10.7,0.431,0.417,0.233,0.701,0.774,"Univariate model, Glas 2003",4.834,2.058,11.358,1.576,0.722,2.43,0,0,654.398,0,0,25.581,0,0.836,0.361,1,2
"FCGR3B","FCGR3B","Bivariate model, Reitsma 2005",0.665,0.31,0.898,0.552,0.401,0.694,3.36,2.45,0.517,11.6,1.48,1.47,0.68,2.39,0.648,0.61,0.186,1.31,0.555,"Univariate model, Glas 2003",4.794,0.689,33.374,1.567,-0.373,3.508,1.944,0,79.521,1.394,0,8.917,0,1.511,0.47,2,3
"IGLV4-60","IGLV4-60","Bivariate model, Reitsma 2005",0.597,0.383,0.779,0.666,0.444,0.833,3.16,2.96,1.45,6.01,1.84,1.76,1.2,2.92,0.617,0.614,0.397,0.852,0.671,"Univariate model, Glas 2003",3.018,1.476,6.17,1.104,0.389,1.82,0,0,0.484,0,0,0.695,0,0.108,0.948,2,4
"TLN1","TLN1","Bivariate model, Reitsma 2005",0.745,0.512,0.891,0.589,0.466,0.702,4.61,4.19,1.77,9.87,1.8,1.78,1.34,2.34,0.449,0.435,0.206,0.769,0.654,"Univariate model, Glas 2003",4.415,1.589,12.262,1.485,0.463,2.507,0.876,0,30.504,0.936,0,5.523,31.837,7.335,0.197,5,6
"IGHV4-4","IGHV4-4","Bivariate model, Reitsma 2005",0.475,0.217,0.748,0.812,0.643,0.912,4.28,3.92,1.71,8.98,2.55,2.45,1.47,4.15,0.645,0.652,0.358,0.898,0.755,"Univariate model, Glas 2003",3.816,1.716,8.488,1.339,0.54,2.139,0.099,0,19.029,0.315,0,4.362,5.828,4.248,0.374,4,6
"CAVIN2","CAVIN2","Bivariate model, Reitsma 2005",0.506,0.322,0.688,0.722,0.588,0.826,2.92,2.66,1.14,6.22,1.86,1.81,1.09,2.97,0.691,0.688,0.442,0.957,0.713,"Univariate model, Glas 2003",2.282,1.16,4.489,0.825,0.148,1.502,0,0,7.008,0,0,2.647,0,2.459,0.483,3,4
"IGHV4-30-2","IGHV4-30-2","Bivariate model, Reitsma 2005",0.69,0.252,0.936,0.8,0.603,0.914,12.5,8.9,1.77,45,3.44,3.22,1.5,6.67,0.421,0.394,0.09,0.883,0.821,"Univariate model, Glas 2003",7.241,2.093,25.051,1.98,0.739,3.221,0.279,0,1122.269,0.528,0,33.5,0,1,0.317,1,2
"INHBC","INHBC","Bivariate model, Reitsma 2005",0.5,0.388,0.613,0.775,0.669,0.855,3.61,3.45,1.92,6.2,2.27,2.21,1.5,3.38,0.649,0.648,0.508,0.797,0.724,"Univariate model, Glas 2003",3.211,1.778,5.8,1.167,0.575,1.758,0,0,2.823,0,0,1.68,0,2.035,0.729,4,5
"HBA1","HBA1","Bivariate model, Reitsma 2005",0.84,0.757,0.898,0.503,0.188,0.816,7.69,5.31,0.985,28.6,1.97,1.69,0.997,4.66,0.387,0.322,0.149,1.01,0.823,"Univariate model, Glas 2003",5.614,1.626,19.379,1.725,0.486,2.964,1.474,0,32.289,1.214,0,5.682,41.647,6.855,0.144,4,5
"MYH9","MYH9","Bivariate model, Reitsma 2005",0.794,0.334,0.967,0.528,0.154,0.873,4.82,4.31,1.7,10.9,1.78,1.62,1.11,3.39,0.433,0.41,0.152,0.829,0.712,"Univariate model, Glas 2003",4.223,1.734,10.287,1.441,0.55,2.331,0,0,9.746,0,0,3.122,0,1.574,0.665,3,5
"MMP2","MMP2","Bivariate model, Reitsma 2005",0.809,0.663,0.901,0.556,0.439,0.668,5.66,5.31,2.64,10.7,1.83,1.81,1.45,2.34,0.355,0.345,0.191,0.577,0.668,"Univariate model, Glas 2003",5.901,2.73,12.756,1.775,1.004,2.546,0.212,0,12.714,0.46,0,3.566,11.934,4.542,0.338,4,5
"PIKFYVE","PIKFYVE","Bivariate model, Reitsma 2005",0.819,0.72,0.888,0.426,0.271,0.597,3.71,3.35,1.38,8.14,1.46,1.42,1.09,2.04,0.451,0.428,0.237,0.793,0.783,"Univariate model, Glas 2003",7.954,0.474,133.595,2.074,-0.747,4.895,2.956,0,5070.887,1.719,0,71.21,0,1,0.317,1,2
"BST1","BST1","Bivariate model, Reitsma 2005",0.854,0.788,0.902,0.44,0.293,0.598,4.99,4.59,2.05,10.3,1.56,1.52,1.19,2.14,0.348,0.334,0.197,0.584,0.843,"Univariate model, Glas 2003",4.277,2.215,8.255,1.453,0.795,2.111,0.035,0,8.783,0.186,0,2.964,0.808,3.024,0.388,3,4
"RAP1B","RAP1B","Bivariate model, Reitsma 2005",0.693,0.615,0.762,0.567,0.451,0.676,3.1,2.96,1.65,5.31,1.63,1.6,1.23,2.17,0.55,0.542,0.397,0.746,0.643,"Univariate model, Glas 2003",3.276,1.797,5.972,1.187,0.586,1.787,0,0,2.195,0,0,1.481,0,1.414,0.842,4,5
"IGHV1-69D","IGHV1-69D","Bivariate model, Reitsma 2005",0.905,0.385,0.993,0.378,0.191,0.61,10.1,5.8,0.736,45.6,1.38,1.38,0.848,1.82,0.349,0.254,0.029,1.14,0.546,"Univariate model, Glas 2003",4.171,0.878,19.817,1.428,-0.13,2.987,0.618,0,2398.795,0.786,0,48.977,0,1,0.317,1,3
"HSPG2","HSPG2","Bivariate model, Reitsma 2005",0.747,0.633,0.834,0.506,0.415,0.597,3.15,3.02,1.73,5.28,1.52,1.51,1.24,1.85,0.509,0.502,0.333,0.725,0.588,"Univariate model, Glas 2003",3.775,1.799,7.922,1.328,0.587,2.07,0.33,0,12.923,0.575,0,3.595,15.914,5.946,0.311,5,6
"ANXA6","ANXA6","Bivariate model, Reitsma 2005",0.669,0.303,0.904,0.733,0.358,0.931,6.37,5.54,1.98,15.6,2.73,2.4,1.28,6.09,0.479,0.47,0.2,0.807,0.758,"Univariate model, Glas 2003",6.161,2.169,17.499,1.818,0.774,2.862,0,0,0,0,0,0,0,0.037,0.982,2,3
"IGKV2-28","IGKV2-28","Bivariate model, Reitsma 2005",0.497,0.363,0.631,0.778,0.457,0.936,5.28,3.46,0.571,21,2.9,2.23,0.74,9.06,0.701,0.651,0.412,1.29,0.583,"Univariate model, Glas 2003",3.384,0.563,20.337,1.219,-0.574,3.012,1.088,0,2028.804,1.043,0,45.042,0,1,0.317,1,2
"TPM3","TPM3","Bivariate model, Reitsma 2005",0.782,0.567,0.908,0.606,0.436,0.753,6,5.51,2.46,12.4,2,1.95,1.45,2.82,0.376,0.363,0.177,0.647,0.717,"Univariate model, Glas 2003",5.49,2.518,11.969,1.703,0.923,2.482,0.096,0,8.853,0.311,0,2.975,0,3.779,0.437,4,5
"PRSS1","PRSS1","Bivariate model, Reitsma 2005",0.751,0.511,0.897,0.568,0.332,0.777,4.18,3.96,2.09,7.5,1.78,1.71,1.27,2.64,0.455,0.447,0.254,0.698,0.704,"Univariate model, Glas 2003",4.305,2.267,8.175,1.46,0.818,2.101,0,0,5.23,0,0,2.287,0,3.715,0.446,4,5
"IGLL5","IGLL5","Bivariate model, Reitsma 2005",0.679,0.405,0.867,0.699,0.441,0.873,5.26,4.92,2.37,10.1,2.33,2.21,1.43,3.93,0.474,0.468,0.252,0.73,0.742,"Univariate model, Glas 2003",5.255,2.363,11.687,1.659,0.86,2.458,0.519,0,7.445,0.72,0,2.729,11.681,5.661,0.341,5,6
"ABCC2","ABCC2","Bivariate model, Reitsma 2005",0.623,0.523,0.713,0.604,0.452,0.739,2.67,2.52,1.28,4.94,1.61,1.57,1.12,2.37,0.637,0.628,0.458,0.874,0.632,"Univariate model, Glas 2003",2.145,1.185,3.881,0.763,0.17,1.356,0,0,8.899,0,0,2.983,0,1.747,0.418,2,3
"FGL1","FGL1","Bivariate model, Reitsma 2005",0.679,0.449,0.846,0.732,0.603,0.831,6.2,5.79,2.8,12,2.53,2.49,1.81,3.52,0.448,0.441,0.234,0.7,0.765,"Univariate model, Glas 2003",6.597,3.479,12.511,1.887,1.247,2.527,0.055,0,12.279,0.235,0,3.504,4.628,5.243,0.387,5,6
"IGLC3","IGLC3","Bivariate model, Reitsma 2005",0.734,0.429,0.91,0.545,0.275,0.791,3.54,3.31,1.6,6.82,1.65,1.58,1.17,2.51,0.509,0.499,0.257,0.808,0.674,"Univariate model, Glas 2003",3.399,1.701,6.792,1.224,0.531,1.916,0,0,6.475,0,0,2.545,0,0.659,0.719,2,4
"TYMP","TYMP","Bivariate model, Reitsma 2005",0.819,0.092,0.995,0.839,0.674,0.929,126,23.5,0.649,855,4.67,4.39,0.688,10.3,0.332,0.219,0.006,1.05,0.853,"Univariate model, Glas 2003",20.888,0.682,639.93,3.039,-0.383,6.461,4.762,0,6724.739,2.182,0,82.005,0,1,0.317,1,2
"ATP5F1B","ATP5F1B","Bivariate model, Reitsma 2005",0.736,0.49,0.89,0.577,0.417,0.722,4.62,3.81,1.12,12.9,1.76,1.72,1.06,2.74,0.489,0.462,0.187,0.943,0.581,"Univariate model, Glas 2003",3.063,1.377,6.812,1.119,0.32,1.919,0.006,0,863.691,0.078,0,29.389,0,1,0.317,1,2
"CDH13","CDH13","Bivariate model, Reitsma 2005",0.647,0.531,0.748,0.714,0.438,0.889,5.14,4.59,1.81,11.6,2.51,2.26,1.25,5.22,0.514,0.504,0.386,0.705,0.696,"Univariate model, Glas 2003",5.558,1.833,16.857,1.715,0.606,2.825,0.78,0,47.35,0.883,0,6.881,36.638,6.313,0.177,4,5
"PPIA","PPIA","Bivariate model, Reitsma 2005",0.666,0.36,0.876,0.687,0.457,0.852,4.67,4.38,2.16,8.88,2.13,2.07,1.47,3.17,0.498,0.492,0.243,0.788,0.727,"Univariate model, Glas 2003",4.406,2.259,8.592,1.483,0.815,2.151,0.064,0,5.732,0.253,0,2.394,2.293,5.117,0.402,5,6
"RAB10","RAB10","Bivariate model, Reitsma 2005",0.765,0.032,0.997,0.696,0.388,0.892,41.8,7.45,0.196,286,2.05,2.06,0.225,3.96,0.453,0.343,0.007,1.16,0.741,"Univariate model, Glas 2003",6.367,0.2,202.652,1.851,-1.609,5.311,5.028,0,6757.007,2.242,0,82.201,0,1,0.317,1,2
"IGKV3D-7","IGKV3D-7","Bivariate model, Reitsma 2005",0.449,0.231,0.689,0.794,0.5,0.937,3.32,3.14,1.62,6.04,2.31,2.15,1.27,4.26,0.704,0.708,0.532,0.856,0.645,"Univariate model, Glas 2003",2.962,1.584,5.538,1.086,0.46,1.712,0.062,0,14.784,0.249,0,3.845,6.232,3.199,0.362,3,4
"KRT1","KRT1","Bivariate model, Reitsma 2005",0.6,0.478,0.711,0.724,0.571,0.838,4.14,3.93,2.08,7.4,2.24,2.16,1.45,3.47,0.56,0.557,0.418,0.721,0.704,"Univariate model, Glas 2003",4.233,2.288,7.831,1.443,0.828,2.058,0.112,0,5.609,0.335,0,2.368,0,4.922,0.425,5,6
"IGKV1-8","IGKV1-8","Bivariate model, Reitsma 2005",0.463,0.295,0.64,0.801,0.587,0.919,3.63,3.46,1.9,6.3,2.43,2.3,1.42,4.17,0.678,0.68,0.539,0.807,0.653,"Univariate model, Glas 2003",3.223,1.914,5.427,1.17,0.649,1.691,0,0,1.245,0,0,1.116,0,2.623,0.758,5,6
"IGHV3-30","IGHV3-30","Bivariate model, Reitsma 2005",0.688,0.477,0.842,0.631,0.159,0.939,5.27,3.77,0.766,18.8,2.59,1.85,0.95,8.72,0.586,0.526,0.342,1.24,0.706,"Univariate model, Glas 2003",3.365,0.787,14.387,1.213,-0.239,2.666,0.761,0,1151.917,0.872,0,33.94,0,1,0.317,1,2
"IGKV3-11","IGKV3-11","Bivariate model, Reitsma 2005",0.456,0.153,0.796,0.845,0.54,0.962,5.41,4.58,1.49,14.2,3.18,2.79,1.28,7.32,0.648,0.658,0.311,0.929,0.738,"Univariate model, Glas 2003",4.19,1.437,12.223,1.433,0.362,2.503,0.614,0,27.196,0.784,0,5.215,14.298,3.5,0.321,3,4
"TGFBR2","TGFBR2","Bivariate model, Reitsma 2005",0.583,0.414,0.734,0.755,0.191,0.976,7.67,4.3,0.525,35.5,4.2,2.36,0.849,18.9,0.681,0.582,0.422,1.61,0.633,"Univariate model, Glas 2003",3.199,0.572,17.902,1.163,-0.559,2.885,0.836,0,2682.33,0.914,0,51.791,0,1,0.317,1,2
"IGHV2-70D","IGHV2-70D","Bivariate model, Reitsma 2005",0.495,0.213,0.78,0.573,0.315,0.796,1.39,1.32,0.683,2.54,1.16,1.15,0.786,1.6,0.88,0.888,0.574,1.16,0.547,"Univariate model, Glas 2003",1.511,0.818,2.792,0.413,-0.201,1.027,0,0,33.155,0,0,5.758,0,1.621,0.445,2,3
"CNN2","CNN2","Bivariate model, Reitsma 2005",0.431,0.089,0.855,0.946,0.804,0.987,26,13.3,1.37,128,9.98,7.36,1.31,34.3,0.596,0.61,0.158,0.972,0.942,"Univariate model, Glas 2003",8.804,1.907,40.655,2.175,0.645,3.705,0.036,0,2025.106,0.189,0,45.001,0,1,0.317,1,2
"GAPDH","GAPDH","Bivariate model, Reitsma 2005",0.731,0.38,0.923,0.734,0.395,0.921,9.78,7.49,1.79,31.4,3.07,2.62,1.27,7.47,0.405,0.382,0.13,0.798,0.794,"Univariate model, Glas 2003",8.657,2.323,32.258,2.158,0.843,3.474,1.42,0,21.264,1.191,0,4.611,18.186,6.111,0.296,5,6
"RTN4","RTN4","Bivariate model, Reitsma 2005",0.555,0.183,0.874,0.834,0.593,0.946,17,6.28,0.397,100,4.44,3.31,0.517,15,0.583,0.537,0.136,1.3,0.81,"Univariate model, Glas 2003",4.86,0.37,63.793,1.581,-0.994,4.156,2.371,0,4338.3,1.54,0,65.866,0,1,0.317,1,2
"CRP","CRP","Bivariate model, Reitsma 2005",0.723,0.611,0.813,0.798,0.619,0.906,11.9,10.3,3.63,29.3,3.87,3.56,1.84,7.75,0.359,0.351,0.228,0.534,0.811,"Univariate model, Glas 2003",8.69,3.675,20.547,2.162,1.302,3.023,0.965,0,13.184,0.982,0,3.631,38.932,13.1,0.108,8,9
"IGKV1D-33","IGKV1D-33","Bivariate model, Reitsma 2005",0.686,0.361,0.894,0.535,0.248,0.801,2.72,2.52,1.17,5.4,1.51,1.44,1.06,2.34,0.607,0.601,0.319,0.928,0.643,"Univariate model, Glas 2003",2.651,1.169,6.015,0.975,0.156,1.794,0.263,0,16.099,0.513,0,4.012,0,1.739,0.419,2,3
"HBD","HBD","Bivariate model, Reitsma 2005",0.651,0.431,0.821,0.562,0.386,0.724,2.48,2.4,1.45,3.96,1.49,1.47,1.19,1.88,0.627,0.625,0.411,0.85,0.63,"Univariate model, Glas 2003",2.469,1.536,3.969,0.904,0.429,1.379,0.008,0,4.011,0.092,0,2.003,0.617,6.037,0.419,6,8
"IGHV1-8","IGHV1-8","Bivariate model, Reitsma 2005",0.476,0.39,0.563,0.788,0.692,0.861,3.56,3.38,1.83,6.26,2.31,2.24,1.47,3.53,0.669,0.667,0.543,0.811,0.744,"Univariate model, Glas 2003",3.202,1.691,6.066,1.164,0.525,1.803,0,0,0.337,0,0,0.581,0,0.08,0.961,2,3
"MFAP4","MFAP4","Bivariate model, Reitsma 2005",0.632,0.243,0.901,0.53,0.226,0.813,2.14,1.93,0.805,4.64,1.34,1.3,0.885,2.03,0.71,0.71,0.333,1.09,0.595,"Univariate model, Glas 2003",2.406,0.775,7.468,0.878,-0.255,2.011,0.262,0,73.387,0.512,0,8.567,0,1.864,0.394,2,3
"ANGPTL6","ANGPTL6","Bivariate model, Reitsma 2005",0.744,0.266,0.959,0.782,0.317,0.965,12.2,10.4,3.45,31.4,3.95,3.24,1.36,10.6,0.371,0.342,0.1,0.78,0.83,"Univariate model, Glas 2003",10.628,3.57,31.638,2.364,1.273,3.454,0,0,16.054,0,0,4.007,0,0.018,0.894,1,2
"PCSK9","PCSK9","Bivariate model, Reitsma 2005",0.707,0.483,0.862,0.703,0.527,0.834,6.25,5.71,2.48,13.1,2.42,2.33,1.56,3.79,0.431,0.422,0.22,0.691,0.758,"Univariate model, Glas 2003",5.655,2.397,13.345,1.733,0.874,2.591,0.482,0,10.69,0.694,0,3.27,7.417,5.401,0.369,5,6
"FLNA","FLNA","Bivariate model, Reitsma 2005",0.58,0.38,0.756,0.723,0.596,0.822,3.83,3.61,1.83,7.12,2.11,2.07,1.44,2.99,0.586,0.584,0.366,0.815,0.722,"Univariate model, Glas 2003",3.804,2.104,6.879,1.336,0.744,1.929,0,0,3.082,0,0,1.756,0,3.855,0.426,4,5
"KRT2","KRT2","Bivariate model, Reitsma 2005",0.664,0.315,0.894,0.623,0.381,0.816,3.56,3.27,1.47,7.28,1.74,1.7,1.25,2.45,0.551,0.545,0.245,0.888,0.677,"Univariate model, Glas 2003",3.85,1.742,8.509,1.348,0.555,2.141,0.207,0,8.128,0.455,0,2.851,0,2.648,0.449,3,4
"CFHR3","CFHR3","Bivariate model, Reitsma 2005",0.707,0.547,0.828,0.618,0.444,0.767,4.05,3.91,2.31,6.59,1.88,1.84,1.39,2.64,0.483,0.479,0.328,0.657,0.709,"Univariate model, Glas 2003",4.218,2.257,7.886,1.439,0.814,2.065,0.114,0,10.121,0.337,0,3.181,9.905,5.55,0.353,5,6
"KRT10","KRT10","Bivariate model, Reitsma 2005",0.555,0.415,0.688,0.733,0.581,0.845,3.56,3.44,2.04,5.8,2.13,2.07,1.46,3.13,0.612,0.611,0.47,0.756,0.689,"Univariate model, Glas 2003",3.656,2.159,6.191,1.296,0.77,1.823,0,0,2.181,0,0,1.477,0,3.353,0.646,5,6
"DEFA1","DEFA1","Bivariate model, Reitsma 2005",0.33,0.243,0.431,0.872,0.726,0.946,3.86,3.35,1.19,9.45,2.87,2.57,1.13,6.35,0.778,0.772,0.64,0.955,0.336,"Univariate model, Glas 2003",3.46,1.219,9.817,1.241,0.198,2.284,0,0,304.446,0,0,17.448,0,0.438,0.508,1,2
"HBG1","HBG1","Bivariate model, Reitsma 2005",0.545,0.384,0.697,0.647,0.377,0.848,2.38,2.2,1.01,4.8,1.64,1.54,1,2.91,0.727,0.714,0.543,0.995,0.603,"Univariate model, Glas 2003",2.034,1.061,3.897,0.71,0.059,1.36,0,0,7.48,0,0,2.735,0,2.377,0.498,3,4
"LGALS1","LGALS1","Bivariate model, Reitsma 2005",0.714,0.213,0.958,0.648,0.282,0.896,5.48,4.59,1.44,14.7,2,1.88,1.2,3.49,0.476,0.453,0.121,0.926,0.722,"Univariate model, Glas 2003",4.102,1.65,10.196,1.411,0.501,2.322,0,0,17.828,0,0,4.222,0,2.773,0.428,3,4
"PKM","PKM","Bivariate model, Reitsma 2005",0.782,0.539,0.917,0.571,0.327,0.785,5.4,4.78,1.82,12.6,1.89,1.79,1.22,3.14,0.408,0.391,0.18,0.727,0.726,"Univariate model, Glas 2003",5.507,1.937,15.659,1.706,0.661,2.751,0.722,0,19.426,0.85,0,4.408,24.018,5.264,0.261,4,5
"IGHV3-9","IGHV3-9","Bivariate model, Reitsma 2005",0.605,0.414,0.768,0.814,0.681,0.9,8.1,6.69,1.99,22.5,3.47,3.22,1.54,6.79,0.499,0.489,0.273,0.784,0.801,"Univariate model, Glas 2003",7.635,2.118,27.527,2.033,0.75,3.315,1.135,0,31.921,1.065,0,5.65,21.298,3.812,0.283,3,4
"IGKV2-29","IGKV2-29","Bivariate model, Reitsma 2005",0.717,0.473,0.877,0.55,0.414,0.679,3.5,3.1,1.18,8.15,1.59,1.57,1.09,2.18,0.535,0.518,0.24,0.924,0.602,"Univariate model, Glas 2003",2.861,1.251,6.544,1.051,0.224,1.878,0.137,0,23.007,0.37,0,4.797,0,1.911,0.385,2,3
"IGHV3-30-3","IGHV3-30-3","Bivariate model, Reitsma 2005",0.87,0.198,0.994,0.417,0.171,0.712,9.72,4.77,0.461,49.5,1.36,1.37,0.583,1.95,0.426,0.318,0.026,1.24,0.566,"Univariate model, Glas 2003",3.294,0.481,22.577,1.192,-0.732,3.117,1.118,0,3142.928,1.057,0,56.062,0,1,0.317,1,2
"S100A12","S100A12","Bivariate model, Reitsma 2005",0.597,0.404,0.764,0.651,0.453,0.808,2.93,2.76,1.41,5.39,1.75,1.69,1.18,2.65,0.63,0.627,0.419,0.858,0.662,"Univariate model, Glas 2003",3.094,1.561,6.134,1.129,0.445,1.814,0,0,8.991,0,0,2.998,0,3.049,0.55,4,5
"ACTC1","ACTC1","Bivariate model, Reitsma 2005",0.762,0.154,0.982,0.565,0.192,0.876,5.59,4.15,0.914,18.8,1.65,1.58,0.935,2.69,0.474,0.432,0.076,1.02,0.678,"Univariate model, Glas 2003",3.494,1.038,11.754,1.251,0.038,2.464,0.36,0,944.23,0.6,0,30.728,0,1,0.317,1,2
"KRT14","KRT14","Bivariate model, Reitsma 2005",0.75,0.529,0.889,0.624,0.333,0.846,5.58,4.98,1.96,12.7,2.14,1.96,1.23,4.08,0.425,0.414,0.224,0.688,0.751,"Univariate model, Glas 2003",5.346,2.151,13.285,1.676,0.766,2.587,0,0,13.177,0,0,3.63,0,2.331,0.507,3,4
"KRT6A","KRT6A","Bivariate model, Reitsma 2005",0.638,0.322,0.868,0.572,0.272,0.827,2.72,2.36,0.828,6.71,1.56,1.45,0.918,2.78,0.663,0.65,0.315,1.1,0.633,"Univariate model, Glas 2003",2.832,0.971,8.257,1.041,-0.029,2.111,0,0,12.653,0,0,3.557,0,0.689,0.709,2,3
"KRT16","KRT16","Bivariate model, Reitsma 2005",0.618,0.298,0.86,0.607,0.357,0.811,2.72,2.5,1.13,5.57,1.57,1.53,1.07,2.32,0.639,0.638,0.325,0.959,0.643,"Univariate model, Glas 2003",3.014,1.427,6.367,1.103,0.355,1.851,0,0,12.173,0,0,3.489,0,2.637,0.451,3,4
"KRT5","KRT5","Bivariate model, Reitsma 2005",0.558,0.37,0.73,0.652,0.444,0.815,2.52,2.37,1.19,4.72,1.65,1.59,1.09,2.56,0.689,0.686,0.475,0.926,0.636,"Univariate model, Glas 2003",2.617,1.294,5.294,0.962,0.258,1.667,0,0,9.098,0,0,3.016,0,1.57,0.666,3,4
"HRNR","HRNR","Bivariate model, Reitsma 2005",0.521,0.268,0.764,0.669,0.325,0.895,2.53,2.21,0.791,6.17,1.72,1.55,0.9,3.55,0.747,0.736,0.457,1.13,0.613,"Univariate model, Glas 2003",2.119,0.791,5.676,0.751,-0.235,1.736,0,0,25.856,0,0,5.085,0,1.507,0.471,2,3
"PLXNB1","PLXNB1","Bivariate model, Reitsma 2005",0.616,0.296,0.86,0.838,0.586,0.95,18,8.31,0.724,95.1,4.94,3.76,0.812,16.1,0.507,0.462,0.152,1.12,0.818,"Univariate model, Glas 2003",5.814,0.888,38.077,1.76,-0.119,3.64,1.743,0,198.561,1.32,0,14.091,26.498,2.721,0.257,2,3
"IGLV3-16","IGLV3-16","Bivariate model, Reitsma 2005",0.666,0.525,0.782,0.703,0.475,0.861,5.19,4.71,1.98,11.2,2.39,2.22,1.33,4.41,0.492,0.484,0.331,0.696,0.72,"Univariate model, Glas 2003",4.952,2.248,10.911,1.6,0.81,2.39,0.021,0,7.157,0.146,0,2.675,0,3.973,0.41,4,5
"IGKV1-6","IGKV1-6","Bivariate model, Reitsma 2005",0.621,0.212,0.909,0.684,0.328,0.906,4.01,3.55,1.36,9.3,1.99,1.86,1.17,3.58,0.572,0.569,0.225,0.928,0.702,"Univariate model, Glas 2003",3.051,1.245,7.48,1.115,0.219,2.012,0,0,127.788,0,0,11.304,0,0.103,0.749,1,2
"SSC5D","SSC5D","Bivariate model, Reitsma 2005",0.782,0.633,0.882,0.49,0.318,0.665,3.79,3.46,1.5,7.99,1.57,1.52,1.14,2.25,0.465,0.449,0.249,0.773,0.713,"Univariate model, Glas 2003",4.71,1.456,15.238,1.55,0.376,2.724,0.372,0,117.691,0.61,0,10.849,15.92,2.379,0.304,2,3
"PODXL","PODXL","Bivariate model, Reitsma 2005",0.837,0.485,0.966,0.86,0.546,0.969,48.3,31.6,5.2,192,7.45,5.72,1.89,23.4,0.229,0.197,0.046,0.582,0.915,"Univariate model, Glas 2003",48.635,7.296,324.203,3.884,1.987,5.781,0,0,23.862,0,0,4.885,0,0.449,0.799,2,3
"TGOLN2","TGOLN2","Bivariate model, Reitsma 2005",0.867,0.736,0.938,0.652,0.287,0.897,17.1,12.2,2.42,61.4,3.03,2.47,1.22,8.2,0.238,0.214,0.094,0.528,0.866,"Univariate model, Glas 2003",17.888,4.006,79.87,2.884,1.388,4.38,0.401,0,28.628,0.633,0,5.351,0,2.956,0.399,3,4
"ICOSLG","ICOSLG","Bivariate model, Reitsma 2005",0.944,0.771,0.988,0.753,0.166,0.979,300,51.2,1.28,2050,8.52,3.77,1.04,45.5,0.167,0.081,0.014,0.823,0.945,"Univariate model, Glas 2003",47.325,1.435,1560.826,3.857,0.361,7.353,4.152,0,7245.488,2.038,0,85.12,0,1,0.317,1,2
"SH3BGRL","SH3BGRL","Bivariate model, Reitsma 2005",0.851,0.529,0.967,0.695,0.289,0.927,17.8,13,2.76,61.1,3.37,2.69,1.27,9.5,0.259,0.229,0.066,0.613,0.852,"Univariate model, Glas 2003",16.937,3.316,86.516,2.829,1.199,4.46,0,0,5.682,0,0,2.384,0,0.005,0.944,1,2
"FLNB","FLNB","Bivariate model, Reitsma 2005",0.584,0.399,0.747,0.93,0.633,0.99,34.2,18.5,2.11,163,13.8,8.16,1.51,60.4,0.474,0.461,0.274,0.748,0.629,"Univariate model, Glas 2003",20.299,2.294,179.614,3.011,0.83,5.191,0,0,2.241,0,0,1.497,0,0.002,0.966,1,2
"LDHA","LDHA","Bivariate model, Reitsma 2005",0.722,0.387,0.915,0.653,0.507,0.775,7.81,4.9,0.743,32.5,2.15,2.07,0.845,3.91,0.48,0.426,0.115,1.14,0.705,"Univariate model, Glas 2003",5.5,1.38,21.924,1.705,0.322,3.088,1.727,0,43.957,1.314,0,6.63,43.008,8.773,0.118,5,6
"IGKV1-33","IGKV1-33","Bivariate model, Reitsma 2005",0.635,0.352,0.848,0.817,0.362,0.972,17.5,7.77,0.642,94.4,5.62,3.37,0.818,24.2,0.527,0.468,0.179,1.25,0.77,"Univariate model, Glas 2003",8.726,0.751,101.363,2.166,-0.286,4.619,3.05,0,165.209,1.747,0,12.853,0,1.825,0.402,2,3
